DAY 1,283214,,,14137
Height (nm),Counts,Width (nm),Adj. Width,Counts
,,78.9,69.1,0
,,79.1,69.2,0
,,79.3,69.4,0
,,79.5,69.6,0
,,79.7,69.8,0
,,79.9,69.9,0
,,80.1,70.1,0
,,80.3,70.3,0
,,80.5,70.5,0
,,80.7,70.6,0
,,80.9,70.8,0
,,81.1,71.0,0
,,81.3,71.2,0
,,81.5,71.3,0
,,81.7,71.5,0
,,81.9,71.7,0
,,82.1,71.9,0
,,82.3,72.0,0
,,82.5,72.2,0
,,82.7,72.4,0
,,82.9,72.6,0
,,83.1,72.7,0
,,83.3,72.9,0
,,83.5,73.1,0
,,83.7,73.3,0
,,83.9,73.4,0
,,84.1,73.6,0
,,84.3,73.8,0
,,84.5,74.0,0
,,84.7,74.1,0
,,84.9,74.3,0
,,85.1,74.5,0
,,85.3,74.7,0
,,85.5,74.8,0
,,85.7,75.0,0
,,85.9,75.2,0
,,86.1,75.4,0
,,86.3,75.5,0
,,86.5,75.7,0
,,86.7,75.9,0
,,86.9,76.1,0
,,87.1,76.2,0
,,87.3,76.4,0
,,87.5,76.6,0
,,87.7,76.8,0
,,87.9,76.9,0
,,88.1,77.1,0
,,88.3,77.3,0
,,88.5,77.5,0
,,88.7,77.6,0
,,88.9,77.8,0
,,89.1,78.0,0
,,89.3,78.2,0
,,89.5,78.3,0
,,89.7,78.5,0
,,89.9,78.7,0
,,90.1,78.9,0
,,90.3,79.0,0
,,90.5,79.2,0
,,90.7,79.4,0
,,90.9,79.6,0
,,91.1,79.7,0
,,91.3,79.9,0
,,91.5,80.1,0
,,91.7,80.3,0
,,91.9,80.4,0
,,92.1,80.6,0
,,92.3,80.8,0
,,92.5,81.0,0
,,92.7,81.1,0
,,92.9,81.3,0
,,93.1,81.5,0
,,93.3,81.7,0
,,93.5,81.8,0
,,93.7,82.0,0
,,93.9,82.2,0
,,94.1,82.4,0
,,94.3,82.5,0
,,94.5,82.7,0
,,94.7,82.9,0
,,94.9,83.1,0
,,95.1,83.2,0
,,95.3,83.4,0
,,95.5,83.6,0
,,95.7,83.8,0
,,95.9,83.9,0
,,96.1,84.1,0
,,96.3,84.3,0
,,96.5,84.5,0
,,96.7,84.6,0
,,96.9,84.8,0
,,97.1,85.0,0
,,97.3,85.2,0
,,97.5,85.3,0
,,97.7,85.5,0
,,97.9,85.7,0
,,98.1,85.9,0
,,98.3,86.0,0
,,98.5,86.2,0
,,98.7,86.4,0
,,98.9,86.6,0
,,99.1,86.7,0
,,99.3,86.9,0
,,99.5,87.1,0
,,99.7,87.3,0
,,99.9,87.4,0
